	七宝本人要连线。好的，来了。
	你说如果就是我像老师说的那样去做的话，我们老师有可能就在课上，就是我是很要面子，就有可能在课上跟我说我下课去找他那件事。然后我们班同学就有可能。
	我后面半句我没听太清，就是老师会让你下课去找他，当着全班的面让你觉得有点没面子。
	是这个意思吧？不是，就是我找过他他上课的时候就会看到我就有可能就想起来那件事了，就说就把我去那件事说出来了。
	然后你就觉得有点没面子是吧？那也很简单的，你如果害怕觉得没你面子的话，你跟你的朋友先说一声，我去找老师理论然后老师说出来了之后，你也没有太没面子。因为你先跟你朋友说了，你说这老师天天针对我，我得找他理论一下，可能有什么误会，我去消除一下误会。兄弟们，我去消除误会去了，老师就算说出来也还好，对吧？你就舒服多了，就不会被人误会成什么又去道歉，又去讨好老师，又去拍马屁，就不会误会这个样子，他就没有那么面子，这是一种方法，对吧？
	第二你可以直接跟老师说，你说老师你别在班上说我来找过你的事儿，特没面子。如果老师还说，说明这个老师他处理这个事情不太厚道，你确实也就别去找他了。而且说实在话，我们就说第二轮就是真的你没处理了这些事儿，其实也没事儿。你上次成绩进步是因为什么？
	四年级的我我用我用了张宇老师的学习方法，然后成绩就提高了。
	对吧？跟老师关系也不是很大，对吧对吧关你啥事呢？那这老师。
	的就是跟学校的老师的教导也有很大的关系。
	真好，这是西宝，你真好。我的意思就是说他弯着你也好，不抽你举手回答问题也好，对你也没啥伤害的，你就把它当成一个事儿就好了也不是多大的事儿，那就算没处理的了。我想告诉你的就是，就算你没处理了，你跟老师之间的误会，其实也没啥事儿，他不影响你的学业，但你对你学业影响也不大，你有有啥影响，你只是自己走不出来而已，是吧？
	你自己没走出来，你太关注了，你太关注这件事儿了，他因为弯着你，难道他上课的内容就变了吗？没有，他不请你举手回答问题，难道你的问题你就回答不来了吗？也没有，对你来说，其实他的这两个行为对你来说其实并没有伤害，只是说你比较是说穿了就是老是伤到伤害你感情了。你很喜欢他，可是他弯着你，你觉得感情受伤，那么你去修复感情，其实对你自己的人生来说，成长来说，其实并没有什么伤害的。如果你修复不了感情，这份感情就不要了，你就不要那么关注那个老师了，对不对？这不是很干净利落的方法，就没有那么拖泥带水的。
	听懂，谢谢佳伟老师，我听懂了。
	听懂了，希望你在没事给他说一说。西宝是我老粉老师。
	我们我们在听的时候，我们俩一直像小鸡啄米一样在不停的点头，是吧？孩子也是他跟我刚开始跟我说这件事儿的时候，如果说我没学老师的课之前，我可能就也陷到里面了，就想个办法怎么去掰扯这件事儿。但是我学完课以后，我就知道我要真诚，我真的是处理不来这种事儿。我就跟孩子很诚实的我说了，我说妈妈从小长大可能这些事情自己都没处理好，也没有什么经验，我好像无法帮到你。然后他就说，那要不然我们求助一下佳卫老师。他对您特别信任。
	我有经验，我比你孩子调皮多了。我经验很丰富，特别师生关系。后来我又当老师，就师生关系经验我最丰富了。我跟你说，师生关系没有大家想的那么神圣，他不是你师傅，他不像古代的老师，他一般就带几个学生，或者甚至是你一辈子的师傅，就教你一个人。他他跟师傅还是有点区别的，他更多的是因为他是一个集体，他除了是你老师之外，他还是一个集体主义的守护者。
	所以其实现在的师生关系，大家一定要跳出来冷静的看一下，有些时候学生其实太敏感了。不是说细宝你敏感，我听你说话的风格也不像一个敏感的人。但是这很正常的，因为我坐在班上，我感觉这个老师很多行为都是对自己的。可是你知道你要把它稀释50倍，就是老师如果弯了你一眼，你这一眼在你心目中如果是100分的话，它其实只有2份。因为他可能是无意之举，但是对于学生来说你是唯一的，对于老师来说你是50分之1、40分之1。懂我的意思吗？就是有很多行为会被学生放大，但是对于老师来说，很有可能仅是这一段时间心情不太好，这一段时间感觉你的发型不太好看啊，这一段时间感觉你有点嘚瑟，但是实际上也没有认真分辨你到底有没有剁手，完全就有可能是某个都会很有可能。
	我跟你说，我教第一届的时候，有一个女孩子跑到办公室来质问我。他说我不太太不给他面子了。他说我没有超前，我没有去学奥林匹克的。当时我们初中还比较流行奥数，现在初中生已经学聪明了，不学奥数了。当时我就说他的逻辑思维混乱是因为学奥数的原因。
	然后我一直说到了初三，到了初三的时候，有一天有一群人的时候，我说我说大家一定不要乱，不要像张三一样，学奥数数学很多思维学乱了。张三就正好就在门外就听到了，就冲进来说老师你不要再说了，你初一的时候说了，我就已经停了。我说你停了，你不跟我说，我早就停了，我已经没有这样学了，而且我现在数学140多，我脑子没有乱，就情绪很激动，这说话很礼貌，情绪很激动。因为我们毕竟师生关系还是很好的。那一刻我发现了一个事儿，就是我对我的学生那么的用心，我其实都很忽略孩子们的很多变化，一个孩子他已经没有在外面补课了，我都不知道，因为他没说，我都还有这方面的定式思维，这些东西其实我们都要认真的去思考，不要过分的把一些事情看重了。老师很有可能就是无意之举，但是对于我们来说，好像他是精心策划的。不不会不会，他不会精心策划，他没有那个精力。加油，加油，希望也加油好吗？
	谢谢嘉威老师。
	然后你再给老师报个喜好不好？就是你数学进步跟老师说一说。
	我的数学连续四次打了97分、99分、100分，还有100分打了两次110个97，一个九十九。
	以前咱们一直稳定在多少？
	以前一直稳定在88分. 
	88也是个吉利数字。开玩笑特别棒，特别棒，你就坚持那个正确的方式。但是你以后一定还会遇到难关，然后就再寻找方式，然后就一定可以回到这个程度。你已经相当于证明了这件事情，这非常棒，八十八已经不复存在了，虽然他很吉利，是吧？
	谢谢老师，谢谢老师。
	我跟你说，西宝你的妈妈早就在我面前表扬过你，对他说他说不得了。其实我跟你说，其实我没说你得瑟，其实你妈很得瑟，你知道吗？你不知道吧？你妈就可能也是想敲打你，在你面前可能没表现出来，但是在我们面前你妈是得瑟的要死，就是我都在敲打你妈，不要得瑟。对，你妈妈在你面前没嘚瑟？没有你看吧，你看吧，老师可能也是这样，在你面前要故意稍微打打，就是敲打打的，但是实际上开心的要死，你知道吗？你妈妈很开心的。
	你如果以后遇到困难，不要忘记这次经验，也是寻找方法解决问题。把问题解决了，你依然可以回到最好的位置，依然可以获得100分。加油。
	好，老师，谢谢老师，老师再见。
	再见再见我再给老师报个喜。儿子妈妈可以说吗？你三年级和别和可以说这个吗？
	说不可以。
	那那我妈妈说另外一件事好不好？好吧，那还我们其实还有一个隐藏的进步，孩子不想说，那我就不公开。我跟大家说一下，其他的进步。就是我就觉得老师的这个自取立刻不光是说孩子能提升成绩，我就觉得我也不知道我自己在什么时候不知不觉的就变化了。以前我是一个很暴躁的人，孩子也会画一些我生气时候的话，就是我的头上是冒着火的这是非常暴躁的。也动手。
	然后这个课程没有像其他的课一样，说我看完了以后一下子有一个什么样转变。我就感觉是不知不觉看的过程中慢慢就内化了。而且以前我是对孩子和老公要求挺高，一个人就控制欲很强。看了这个课以后，我不知道为什么突然就不控制了。
	那天我和我爱人聊，而他还说我发现你现在很稳定，就是因为生活中有的时候会发生很多事，我们已经生活十几年了，他觉得有些事儿我应该炸了，但是我没有炸，就是还很稳。我说，他说你这个课学的太值了，以前我也各种买课，他说没有一个像这个课一样，你是真的是稳下来了。他说我哪天我要来给老师刷跑车。
	刷跑车，他不要我买课，我分的多一些。
	然后他现在就是我以前总会要求他跟我看一些，这个课那个课他很抵触，但是他现在会主动跟我一起听老师的课，就是没有硬性没有要求，老师说的那种丝滑，很真诚的，自然的就过渡到这儿了。我也有点激动。老师今天帮孩子跟孩子说的这些，我就觉得其实我眼睛都已经湿润了。真的，老师这些话就是特就是像光一样把老把把我孩子这段时间心里这个阴霾一下就驱散了。老师可能看不见我在他旁边，他是不停的在笑，不停的在点头。
	其实有些时候人与人之间就是有很多误会，我站在老师的角度给你们说也是真实的。其实很多时候你就会发现自己是被一些无所谓的事情影响了心情。其实解开就好，加油。
	是的，而且我们家庭的，因为学完这个课以后，我家庭的开销都都节约了。就是我发现人在焦虑和暴躁的时候就容易买买买。
	是这样，不是是因为有钱的时候才会买买买。不是我有的时候我。
	以前干过刷信用卡来买课的事儿，就是我就焦虑也没有录，但是我又想改变，但是我觉得又没有用，我就想心理上就是没有力量被填补满的话，我就想在物质上，哪怕我经济不够的话，我也想买一些东西把家里填满的那种感觉。学完老师的课以后，我觉得我心里有力量了，就是特别神奇，就一些无用的开销都解决了。
	你我们确实没想到。
	这确实没才华我昨天突然就发现我这个问题，所以我想跟大家说，就说马老师这个课特别值，你不光是自己改变了，你就是你还能帮你结缘开了。虽然你花了199、399，但是你会省下无数个199、399。
	谢谢你的这个评价。
	感特别感谢老师。就是孩子各方面习惯，以前我们也打你妈也没有用，但是真的就是简简单单的是老师那些朴素的方法，孩子也是不知不觉的就内化了。像以前数学这块确实是不太那啥，他现在就是非常的有有信心了，有自信。
	以前差很多了，一会儿数学思维的，一会儿逻辑思维能力的，一会儿专注和提升的，搞了一堆是吧？
	对对对。
	我到训练的对吧？
	对，找老师试课。在网上听说这个数学课好，听说那个数学课好。我孩子这道题解不出来，是我这数学思维不行，我要怎么办？
	大部分的孩子子都是被什么思维，这个思维这个灵性又要聪明搞坏掉了。其实就踏踏实实的一步一步一个台阶的。其实你会发现数学其实是学科里面还比较简单的东西，就是大家搞得花里胡哨了，其实就是沉下心来踏踏实实就可以成功的对对对我。
	就特别感恩遇见家伟老师，我们一家人都感遇见家伟老师。然后我爱人说要刷跑车的时候，我说的别刷跑车了，你买课，我给你们同事推荐这个课。另外你跟我来连个线，然后本来是想今天连的，结果他们又临时加班，然后他就没来上，然后他也有点小内向。然后下次再有机会，我就我们一家三口都跟老师连线。
	然后把它做成纯享版，保留在历史的长河中太感谢。
	对，还有老师的陈享满，真的就是说每天早上有些宝妈需要弄孩子，顾不上，就是一边干别的一边听课，可能无法专注。这个纯享版真的特别的好，有一点像听别人的故事，品味自己的人生。就是老师的课程非常的干当。你觉得某一个点需要稀释的时候，听一下这个纯享版，真的你就有可能一下子怎么说呢？听到别人联想到自己，你就也通了。非常感谢老师。
	没事儿，行吧。
	谢谢老师。

（内容由AI生成）
