	两百几个币，你好你好。
	那怎么办呢？那叫训练。你训练了一天就只用左手运球，但是你比如说第二天打比赛，你还是会下意识的右手一突破，你还是会你要真的左手练到一种和右手差不多的感觉了，然后再那个比赛场上还要下意识的给自己一个强心剂。比如说正好运到那里，然后你下意识的变相变到左手，然后你就会有一种习惯想变到右手来。但是你还要告诉一下自己，不行，我要用左手突破，这个时候你可能才会用左手突破，这叫做一个习惯代替另外一个习惯。就是说他之所以在同一个地方会犯很多错，他是有定制思维。这个就是思维中的惯性，你要用另外一个惯性来替代它，要进行长期的设立，这种长期的刻意训练。
	我跟你说，只有老师办得到，家长办不到，家长能办到的。我提供的一直是客观训练，过关训练能够刻意的偶尔打中他的那一个惯性思维点。然后由于他害怕错，因为过关训练必须全队一种，由于他害怕错，然后他会主动的，就像我害怕右手运球突破不了，我也会主动的，左手很生涩的运球，然后长此以往，注意，真的是长此以往，他虽然把这个毛病给他覆盖了，不是改掉，就真的就被另外一个习惯覆盖了。
	生活中一样的，就比如说有一个很不好的习惯，这个习惯会导致我掉水杯。你会发现你需要长期的第一提醒，而且是什么时候提醒，是事前提醒。像我的孩子就是要掉水杯，跟你孩子一样的，这个事情绝对不能够代劳。
	就比如说他每次我觉得他画画，他上英语课，他只要上课他很兴奋。因为他就是小，五岁多现在都不爱掉，四岁多的时候特别爱掉东西。他他因为他兴奋，他兴奋就是那个老师给他讲了拜拜之后，他看到我们在这儿等他他就不得了了。就是觉得自己学了已经是武林高手了或者是美术大师了，然后就开始跟我们分享，就往外面走，水杯不知道，画质不知道，我们很简单，我们都是走到门口，然后转角的地方。问他，你有没有什么东西没有拿，他说没有然后我就笑，然后他就想一下，我说你再想一下，他说没有。第一次我说你水杯没有了，爸爸去给你拿，他说我去，他就去了，然后这是第一次。
	第二次干什么呢？第二次孩子一出来，我就说我说你先冷静一下，你先想一下离开这个地方有哪些比较老，那他还是没有没拿。然后走到转角，我说我刚才提醒了你，有哪些东西没拿，他说我水杯，我说去吧，第三天。孩子刚刚出教室的门，我就问他，我说你记不记得昨天和前天在转角的地方，你往回好了，是忘记了一个东西。
	他说我记得水杯，他就直接把水杯背上。第四天我就没有提醒他，我只提醒他我说你记得走的时候有一个有有一个动作，就是要把所有东西拿上。他说我知道，然后结果又没拿。走到转角处，我就说你看都养成习惯了，走到这个地方想一下有什么没有了。他说我水杯没拿，然后他又去拿。
	我跟你说过了多久，就不骗你，七八个月。但是因为孩子小，我觉得大孩子这个时间要短一点。过了七八个月，他就记住了，他每一天一出来，他不会去想这个事儿，他就把水杯往自己身上一挂，就开始跟妈妈讲话，跟爸爸讲话。然后我就看见他动作如此自然，就是已经养成一个新的习惯，就是很自然，但是中间要很有耐心。因为他没有办法，其实他妈妈都比较着急，我一点都不着急。因为我当老师我当老师我太清楚了。
	我以前以为我们学校的孩子多厉害，当时我很向往我们学校，我觉得太恐怖了。十多个状元，而且平行班都特别好是吧？我来了之后现在都教最好的实验班了。我发现我不不对头，不对头，不是我们想的那个样子，学霸好像很厉害，真的有时候像傻子一样，真的是学霸。
	我跟你说，我现在回想我以前考清北港大，什么复旦这种985的这些学生，在初中就是最开始教他们的时候，不是最开始包括他们离开的时候，包括他们高中的时候，你用你的那个成年人眼光或者上帝视角、客观视角去看他们，真的就是感觉白痴。虽然我当年读书没有他们厉害，但是你还是忍不住的觉得他们是白痴。你都很难相信这个人考北大，这比我厉害这么多，我感觉他白痴。他这个问题当年给他讲一个配方的事儿，这个人感觉就是脑子有病，现在我平和下来了，最开始也不叫不平和，当时我是很费解我很费解。
	大部分的初中学霸，他觉得自己思维敏捷，是因为小学的自信心很强。他勇于探索，勇于采用自己的方法去做题，去探究。他比如说他等腰三角形，他说有3种可能性，我说等腰三角形为什么有3种可能性？他说你看有三个角，我说说的很好啊，我说怎么分？他说那就不同的顶角，角A为顶角，角B为顶角，角C为顶角。我说非常好，我说这个三角函数的时候比较好用。
	我说但是在初中阶段，因为我们是用距离公式或者是用中垂线，总之我们其实用的方法是跟线段息息相关的。在初中的边角关系停留在30度、60度、75度、15度这种最特殊的三角形才会扯到边角关系。所以我们对角的探索主要是等价的带宽，我们更多的计算量在边的计算上，或者说实际上应该我说你看如果这样分类的话，你就很好理解方程就是AB等于ACBA等于BCCA等于CB我说你看这样，我们用首字母来表代表这个顶角，这样我们的方程就形成了。
	我记得当年跟一个学霸讲，他现在在上在交大。然后讲完之后他非常理解，因为他很信任我，他就觉得对我这样分类的话，我会第一减少书写，第二方程很自然，就过度了。这样我做题的时候就很顺滑，他会去研究细节的东西，他就非常开心。并且我当时看见他在自己的那个数学作业本上还把这个事儿写了一下。
	他很少的笔记，他只做他认为最重要的东西，用红笔在自己的我们的作业本上批注。到了下个星期二，我们班上做了一个小考，又出了一道大型的函数题。然后第二问就是一个等腰三角形的分类，我发现他没有用我的方法，然后有些老师会炸掉，其实我告诉你，这非常正常，我我真的我就观察到这一点，但是那一次我忘记管他了，就是因为我那么多学生不可能天天盯着你一个人的错，是吧？然后我就又过了一阵子，我记得就过了大概两三个星期。反正又有一次考试，他又这样，我就放心了。
	我说你不听老师的话，他说李老师卷子一发下来，我就发现我应该这样分类的。他考试的时候我紧张，我什么都忘了。我我说我说非常正常，我说下一次你可以先把这道题标出来，在上面写上，注意用边分类。我说你写一下，下一次他就真的写。
	你们听到我讲的很多学生的细节，其实都是很多偶然。一个老师不可能盯着一个孩子全天所有的细节，所以我也不知道过了多长时间，也没关注他这个事儿，因为这本来就是一件小事儿。这不影响你数学学的好是不好，只是一种舒适感是吧？你这样分的更舒适，所以在我心中也不是多重要。我发现他还是没有养成这个习惯，你懂我的意思吧？然后一直到初三学二次函数的时候，我在班上大肆的全班规范的时候，这个孩子才养成这个习惯。
	你想一下要多久？所以首先你要知道，我们不是什么事都不做，首先我们要知道这是一个正常的事情。如果这个事情孩子没有这个毛病的话，你的孩子将比爱因斯坦还要优秀，你懂我的意思吗？就是太恐怖了，一个错了就改了，就不会错的人，一个是只犯一次错的人，那真的太恐怖了。因为他纠正他习惯的效率是百分之百。我们说如果把习惯纠正或者叫做习惯覆盖，或者养成新习惯的效率，满分定为100分的话，大部分的人的分数只有5%。
	你想一下你的生活习惯，如果你突然全面改掉，你会发现今天我上新了你就能改掉。比如说最近我们当过妈妈爸爸的都知道，有些时候孩子比如说过敏，或者医生说不能吃什么，对吧？但是这件事情是比如说我们平时家里面常用的东西，比如说酱油，对吧？医生说最近不能吃酱油，伤口要黑对吧？不也不知道为啥，然后有色素，要黑。你就会发现你真的就没有用，这样有就是今天就没有用，第二天也没有用。
	但是当孩子的伤疤在你心中逐渐的淡化，你第三天不小心就放了酱油，然后他说糟了，我放了酱油。是不是经常会这样？因为这是一个习惯，你其实前两天为什么改掉了？就是因为你特别关注不要放酱油不要放酱油，不要放酱油。但是你一旦比如说某一天工作特别累，或者跟丈夫吵了架，或者是啊出了一个什么事儿，或者特别兴奋，甚至就是很自然的习惯的就把酱油就放进去了。
	孩子也是这样一个情况，你第一天提醒他拿水杯他就会拿，第二天他还会拿，第三天还会拿，第四天他就问为什么呢？其实因为他没有养成习惯，要养成一个习惯就两种方法。第一个就是长此以往的用一个新的习惯来替代。比如说他要翻碗，那么不要告诉他不要翻碗，你要告诉他要这样拍球。当然他知道，但是今天你告诉他他就没拍完，明天告诉他没拍完，可能要告诉两个月。
	就有一个人盯着我们说习惯的培养为什么一定要先他律，最后成自律？其实他律成自律这个事情是有毛病的。其实他律形成的自律不是自律，他律形成的是习惯，不是自律，自律不是他律形成的。自律真的是一个人他对某一个远期的目标有一个追求，他才会自律。他律形成的是假性自律，其实是一种习惯。
	就是我们一直去约束他，告诉他要拿水杯，告诉他三角形之内这样哈这样哈这样这样天天天天控制他。首先你们关系比较好，最开始的时候他就会一直按照你说的做，然后慢慢的你就有点退出，你每次都是当场告诉他随便便，然后慢慢告诉了你出教室应该干什么，开始变什么问题，然后慢慢的变成他如果没有拿就不管，让他承担后果，慢慢的让他没有拿，我们就在某一个地方告诉他，你忘记什么东西没有你不断的退出，不断的退出，但是每次都要提醒。然后当你要发现一个什么事儿，就是他很自然而然的都在做这件事情，叫做养成的习惯。其实不是自律，就是养成的习惯，一个新的习惯那就好，那真的是一个长期的事情。你刚才问的这个问题明白我的意思吧。

（内容由AI生成）
