	好，你好，海洋。张伟老师你好。对，你好你好，我上次给你发过私信的。
	没有，为什么呢？我如果不实行20分钟的数学定时作业，我收上来的作业更少，也没有办法做完，而且抄作业的极多，好多都抄作业，而且就抄我的数学作业。为啥呢？因为其他作业不好抄，数学作业好抄。你说语文抄都要抄半天，本来就是抄。有些一些初一的好多语文，他他本来就有抄写的东西是吧？英语没办法要背，要在老师面前过关。数学比较好抄，抄作业的。然后如果有选择题乱一些，那已经成片增加。
	而且你想我第二届都还没有考大学，我第一届平行班就考了一个北大一个港大。特别是考港大那个孩子，他就几乎没有哪天作业做的特别对过。他要么语文出问题，要么物理出问题，要么数学出问题，为啥呢？因为它就是个轴走的不得了的孩子。
	后来他是用什么呢？他是用课间的时间先把一些碎片的作业全部处理了。然后他就发现他能够提高他的速度。我告诉你，第一就是你给他提几个建议，第一是针对他速度的。
	一定要告诉孩子，你说作业有点像考试，有点像考试，就是说你未必要特别的。比如说错做不起的题一定要去查，不用暴露给老师看啊，不要怕老师给你打叉。我告诉你老师不会通过作业的这个好坏来就来贴孩子的标签的，他只会更重视你的孩子。
	我们的老师是要求家长对作业是不辅导的，家长关注你的孩子作业做没做完。
	我跟你讲的办法也是让他体验感更好，这不是一个一步做完就特别难受的事儿。不做完孩子说我今天没做什么作业，没事睡觉。你放弃我了吗？你说不是你现在也没什么办法，你说我现在逼你做完了，影响你睡眠。像以前妈妈这样催你，好像效果也不太好。一般人生遇到这种问题就是先睡觉，睡了明天我们再想办法，好吧，快去把亲子关系搞好一点。
	但是不是不想办法，这个跟溺爱和放纵是是是有区别的。我不是明天不想办法，明天被老师批一顿，我回来我也被老师批了一个，今天要想个办法，妈妈苦思冥想，我觉得我们可不可以20分钟一科作业，或者某一科30分钟，这样我们也许一个半小时就能解决，我们试一下对吧？一试能解决，可是错误率高。
	第二天又去回来看孩子怎么样，孩子说可还行？就是错的多，先错的多，先这样看一下，不是一定要完成作业，我们先把它完成。现在是能够轻便完成的，反正20分钟我完不成我就停。我心里面很舒服对不对？
	先把这个做好，然后正确率的问题可能要在课堂上求，不是在晚上求，对吧？你晚上求什么正确率，就好像什么就是考试的时候求正确率是没有意义的。就比如说你考试的时候，你说我考试的时候努力，我觉得最神奇的一件事情就是考试的时候加油，加什么油？都考试了还加油，对吧？
	考试就结束了，就是把自己已经有的东西表达出来就好了。加什么油？我来到两个小，是我我还可以奋斗一下。那不是考试，不是一种奋斗了，奋斗肯定在前面你今天做作业了，该做多少就做多少，对吧？你该加油的就是每天想办法，上课的时候想一下作业，该作业做不做得起。你可以干一件事情，还是你每天想一下今天会出什么作业，上课的时候听见，听一下，听一下有没有办法把作业做对。我们就以作业为导向，梳理的学习能力？如果他们老师作业做的还不错的话，其实这是一个非常好的方向。
	我跟你说还是很大的功利性的，我每天上数学课我都是在课堂上。这道题今天晚上有这个作业，大家今天晚上看一下那道题，看是否可以举一反三。有些孩子不认真的上课，然后如果还不认真，我今天上课讲的这个经典同学们你们问一下背后是不是我感觉背后可以有很多体系性的变化。这样下个星期二那那套卷子我出一道这种题大家回去可以探索一下它的变化，然后马上就有人举手，老师老师你可以再讲一遍。他有目的性，他有时候才会专注。你说你上课的时候想一下今天晚上的作业，作业有的就听一下，没有的也听一下，你懂吗？说话就是这种态度和语气了。虽然我们的风格不一样，但是你找到了这种姿态还是体验感会好。
	首先而且你发现没有，你是没有放弃他的，你也没有控制他的，你也没有讨好他的。因为有人说我的天教育孩子很难，不能讨好，不能放弃，也不能控制。对，我都没有。但是也是很自然的，很自然的就给孩子提了一些建议。
	然后孩子实行下来说，天天考试太辛苦了，不愿意做了，就说等一下，那我们不不不这这样搞，这不适合你。很多家长根本就不会借势而为，就是一旦孩子不做了，那你什么态度？就开始刚对刚，不，我说这么恼火，等一下洗把脸不准做了，不能做，确实不要做了，这个时候不要做了，为什么呢？你采用的方法肯定不适合，今天先休息一下还是很舒服的，因为他就是想休息一下，但是你是非常强势的，看到没有？那先不做了，方法有问题，或者方法不适合你，没有问题，我们想办法，阳台上坐一会儿，下去走一走，自己静一静，随便你干什么。
	然后完了之后说还是平静的，问题还要解决，对不对？妈妈有一些经验，我告诉你妈妈有一些经验，可是你得自己说，因为我不知道你的根源在哪里，我怎么知道怎么给你提方案。孩子说完你也懵了，我也没办法，我没办法，先睡觉，明天我想办法问老师连线，想办法看有没有什么好的学习方法可以借鉴。然后明天就告诉孩子，孩子有办法，你不要总觉得是孩子的毅力品质的问题。
	很多时候其实99.999%，我还真不瞒大家，都是方法的问题，就是他没有一个契合他的学习的状态和方法和姿态来支撑他现在的能力啊不要去学学霸的方法学霸的方法好多都是支撑学霸的。就是我我发现了一个很很奇怪，比如说我经常举的例子就是改错本，改错本是支撑学霸非常厉害的东西。如果是个学渣，改错本是把把孩子的能量消耗完的一个东西，所以你就要一定要开始关注，尤其是孩子很多时候都摆烂走生很多东西其实都是因为他的学习方法，他的学习之路其实在拖垮他，有一些多余的任务让他做了之后，发现又又没有意义，又特别的花时间，又特别的烦躁，而且还会受到批评否定。那么他就觉得体验感很差，跟毅力没有关系，很多人都总觉得要克服，要有毅力，要去干自己让自己痛苦的事情。没有人这样，以前也不这样，古代也不这样，旧社会也不这样，永远人都是喜欢干体验搞好的事情，这是人性。所以孩子他首先出了问题，先暂停冷静方法，有问题想方法，想不出来先睡觉，第二天继续想。这就是一个很好的姿态，解决问题的姿态，我永远在辅助你的姿态中间，因为你的孩子自驱力破坏了，我不知道你们亲子关系好不好，中间可能你需要有一些耐心。如果亲子关系好，你其实都不需要什么耐心。
	如果亲子关系不好，孩子就开始会怀疑，觉得你在那儿装装什么装，这个妈越来越会装，套路我，不知道又在哪里听了什么教育观点，他会最开始有很多奇怪的举动，这个时候你有点耐心就好。你告诉他自己是真诚的，不是用语言告诉，而是用很多天的一个情绪稳定和逻辑稳定告诉孩子我非常真诚。而且我我经常我经常告诉我自己班上的孩子，因为我们班我是初中的，很多孩子小时候对老师就有很多标签。老师就是要上课的，老师就是要多布置作业的，老师就是天天激我们的，老师就是要罚我们的，怎么样。这个对我有很多标签，我有很多时候要用半年来告诉他们我是一个什么样的老师，真的有时候要超过半年，甚至家长对老师也有标签，老师就是这样，老师就喜欢考试是为了干什么，这个也是为了干什么。
	然后我后来我总是用一个非常真诚的逻辑告诉他们，你看我在帮你想办法，第一我也勤快，你也勤快成绩提高，我说我有什么其他目的，你说我有其他什么目的？孩子一想也很猛，小时候总觉得老师有很多奇怪的目的。什么目的？确实没什么目的，他就想控制我。我说的我说就是这样这样，我说张三同学，你说老师就想控制你是不是小学老师想控制你？我说他就想控制你了，怎么样？我说他为什么要控制你？他变态。
	他就就有些孩子就开玩笑，我说对，可能变态，你老师变不变态？他说你不变态，我说那我还是想控制你，怎么办？我不知道。我说原因很简单，就在帮你，对吧？还有什么原因？想想也想不明白，你跟孩子相处的时候，如果有亲子关系的问题，只有真诚和爱能够消解一切其他你而且是稳定的，你要搞着搞着突然就愤怒了。
	然后妈对我我都我自己就是可能情绪上不太够，不是很稳定。
	因为他。
	有时候。
	你发怒代表你别有怒目的。听懂我的这句话吗？一个人发怒就是我们发现对方气急败坏或者恼羞成怒了，我们会觉得别人别有目的。因为这明显不是在帮我的状态，这也不是我的朋友的状态，不然他为什么要向我发火？就是我们夫妻之间，如果对方突然暴露，我们都会觉得那一刻你会觉得是没有爱的。而孩子更没有逻辑了，他还没有长大，说实话不是看不起他们，他就更他主要是没有经验，他更不会觉得你在帮助他，所以你们亲子关系就慢慢会出现问题。他其实他自己都说不明白你们有什么别有用心。
	我跟你说，好多孩子都认为父母和老师别有用心，但是我们总是那种特别情绪不稳定的老师和家长总是给孩子别有用心的感觉，他就懒得去想他反正总觉得你是第一的，你不跟我不是一伙的。但是你问他为什么，他也说不明白。所以很多孩子在混沌之中，你问他妈妈对你好不好？好，他自己都觉得对，妈妈对我很好，他一直在帮助我，他永远是我的港湾。但是他没有思考这件事情的时候，他就觉得妈妈是第一个，我要战胜他。我他要害我就是懂了，他是两个大脑在思考问题，特别困难。你们感受一下就明白。
	我还有一个问题，就是孩子现在因为。

（内容由AI生成）
